No,Nama KKKS,Tahun,Bulan,Jenis Interaksi,Detail Aktivitas,Keterangan,Skor,Label
201,Triangle Pase,2024,Juni,Partisipasi,Forum Kapasitas Nasional,Menjadi narasumber utama & membawa vendor lokal,3,Harmonis
202,Triangle Pase,2024,Juni,Rapat,MCM (Monthly Coordination Meeting),Tidak hadir tanpa konfirmasi/berhalangan,1,Kurang Harmonis
203,Triangle Pase,2024,Juni,Rapat,Technical Review Meeting,Pemaparan data teknis sangat akurat & solutif,3,Harmonis
204,Zaratex N.V.,2024,Juni,Komunikasi,Email Klarifikasi Teknis,Dibalas dalam 2-3 hari kerja,2,Harmonis
205,Zaratex N.V.,2024,Juni,Komunikasi,Surat Korespondensi Resmi,Tanggapan diterima sesuai durasi standar,2,Harmonis
206,Zaratex N.V.,2024,Juni,Laporan,Laporan Produksi Harian (Daily),"Submit tepat waktu, ada revisi minor",2,Harmonis
207,Zaratex N.V.,2024,Juni,Laporan,FQR (Financial Quarterly Report),Laporan diterima dengan catatan kecil,2,Harmonis
208,Zaratex N.V.,2024,Juni,Partisipasi,Sosialisasi Lingkungan,Koordinasi program lingkungan sangat baik,3,Harmonis
209,Zaratex N.V.,2024,Juni,Rapat,MCM (Monthly Coordination Meeting),"Hadir diwakili staf teknis, cukup kooperatif",2,Harmonis
210,Zaratex N.V.,2024,Juni,Rapat,Technical Review Meeting,"Pemaparan cukup, ada tindak lanjut tambahan",2,Harmonis
211,Conrad Asia Energy,2024,Juli,Komunikasi,Email Klarifikasi Teknis,Dibalas dalam 2-3 hari kerja,2,Harmonis
212,Conrad Asia Energy,2024,Juli,Komunikasi,Surat Korespondensi Resmi,Administrasi rapi & tindak lanjut cepat,3,Harmonis
213,Conrad Asia Energy,2024,Juli,Laporan,Laporan Produksi Harian (Daily),Submit via portal tepat waktu & data sinkron,3,Harmonis
214,Conrad Asia Energy,2024,Juli,Laporan,FQR (Financial Quarterly Report),"Dokumen lengkap, lampiran sesuai regulasi",3,Harmonis
215,Conrad Asia Energy,2024,Juli,Partisipasi,Forum Kapasitas Nasional,Menjadi narasumber utama & membawa vendor lokal,3,Harmonis
216,Conrad Asia Energy,2024,Juli,Rapat,MCM (Monthly Coordination Meeting),"Dihadiri GM/Manager, proaktif dalam diskusi",3,Harmonis
217,Conrad Asia Energy,2024,Juli,Rapat,Technical Review Meeting,Pemaparan data teknis sangat akurat & solutif,3,Harmonis
218,PT Medco E&P Malaka,2024,Juli,Komunikasi,Email Klarifikasi Teknis,Dibalas dalam 2-3 hari kerja,2,Harmonis
219,PT Medco E&P Malaka,2024,Juli,Komunikasi,Surat Korespondensi Resmi,Administrasi rapi & tindak lanjut cepat,3,Harmonis
220,PT Medco E&P Malaka,2024,Juli,Laporan,Laporan Produksi Harian (Daily),Submit via portal tepat waktu & data sinkron,3,Harmonis
221,PT Medco E&P Malaka,2024,Juli,Laporan,FQR (Financial Quarterly Report),"Lampiran tidak lengkap, butuh revisi besar",1,Kurang Harmonis
222,PT Medco E&P Malaka,2024,Juli,Partisipasi,Program Pengembangan SDM,Mengadakan sertifikasi gratis untuk teknisi lokal,3,Harmonis
223,PT Medco E&P Malaka,2024,Juli,Rapat,MCM (Monthly Coordination Meeting),"Dihadiri GM/Manager, proaktif dalam diskusi",3,Harmonis
224,PT Medco E&P Malaka,2024,Juli,Rapat,Technical Review Meeting,Pemaparan data teknis sangat akurat & solutif,3,Harmonis
225,PT Pema Global Energi,2024,Juli,Komunikasi,Email Klarifikasi Teknis,Tidak ada balasan setelah 3 hari kerja,1,Kurang Harmonis
226,PT Pema Global Energi,2024,Juli,Komunikasi,Surat Korespondensi Resmi,Administrasi rapi & tindak lanjut cepat,3,Harmonis
227,PT Pema Global Energi,2024,Juli,Laporan,Laporan Produksi Harian (Daily),Submit via portal tepat waktu & data sinkron,3,Harmonis
228,PT Pema Global Energi,2024,Juli,Laporan,FQR (Financial Quarterly Report),Laporan diterima dengan catatan kecil,2,Harmonis
229,PT Pema Global Energi,2024,Juli,Partisipasi,Sosialisasi Lingkungan,Koordinasi program lingkungan sangat baik,3,Harmonis
230,PT Pema Global Energi,2024,Juli,Rapat,MCM (Monthly Coordination Meeting),"Dihadiri GM/Manager, proaktif dalam diskusi",3,Harmonis
231,PT Pema Global Energi,2024,Juli,Rapat,Technical Review Meeting,"Pemaparan cukup, ada tindak lanjut tambahan",2,Harmonis
232,Triangle Pase,2024,Juli,Komunikasi,Email Klarifikasi Teknis,Respon sangat cepat (< 24 jam),3,Harmonis
233,Triangle Pase,2024,Juli,Komunikasi,Surat Korespondensi Resmi,Sering membutuhkan follow-up berkali-kali,1,Kurang Harmonis
234,Triangle Pase,2024,Juli,Laporan,Laporan Produksi Harian (Daily),"Submit tepat waktu, ada revisi minor",2,Harmonis
235,Triangle Pase,2024,Juli,Laporan,FQR (Financial Quarterly Report),Laporan diterima dengan catatan kecil,2,Harmonis
236,Triangle Pase,2024,Juli,Partisipasi,Kegiatan CSR Bersama,Koordinasi program pemberdayaan masyarakat sangat baik,3,Harmonis
237,Triangle Pase,2024,Juli,Rapat,MCM (Monthly Coordination Meeting),Tidak hadir tanpa konfirmasi/berhalangan,1,Kurang Harmonis
238,Triangle Pase,2024,Juli,Rapat,Technical Review Meeting,"Pemaparan cukup, ada tindak lanjut tambahan",2,Harmonis
239,Zaratex N.V.,2024,Juli,Komunikasi,Email Klarifikasi Teknis,Tidak ada balasan setelah 3 hari kerja,1,Kurang Harmonis
240,Zaratex N.V.,2024,Juli,Komunikasi,Surat Korespondensi Resmi,Sering membutuhkan follow-up berkali-kali,1,Kurang Harmonis
241,Zaratex N.V.,2024,Juli,Laporan,Laporan Produksi Harian (Daily),"Submit tepat waktu, ada revisi minor",2,Harmonis
242,Zaratex N.V.,2024,Juli,Laporan,FQR (Financial Quarterly Report),Laporan diterima dengan catatan kecil,2,Harmonis
243,Zaratex N.V.,2024,Juli,Partisipasi,Program Pengembangan SDM,Mengadakan sertifikasi gratis untuk teknisi lokal,3,Harmonis
244,Zaratex N.V.,2024,Juli,Rapat,MCM (Monthly Coordination Meeting),"Hadir diwakili staf teknis, cukup kooperatif",2,Harmonis
245,Zaratex N.V.,2024,Juli,Rapat,Technical Review Meeting,Data teknis tidak siap saat pemaparan,1,Kurang Harmonis
246,Conrad Asia Energy,2024,Agustus,Komunikasi,Email Klarifikasi Teknis,Dibalas dalam 2-3 hari kerja,2,Harmonis
247,Conrad Asia Energy,2024,Agustus,Komunikasi,Surat Korespondensi Resmi,Administrasi rapi & tindak lanjut cepat,3,Harmonis
248,Conrad Asia Energy,2024,Agustus,Laporan,Laporan Produksi Harian (Daily),Submit via portal tepat waktu & data sinkron,3,Harmonis
249,Conrad Asia Energy,2024,Agustus,Laporan,FQR (Financial Quarterly Report),"Dokumen lengkap, lampiran sesuai regulasi",3,Harmonis
250,Conrad Asia Energy,2024,Agustus,Partisipasi,Workshop Teknis Migas,Proaktif berbagi studi kasus pengeboran,3,Harmonis
251,Conrad Asia Energy,2024,Agustus,Rapat,MCM (Monthly Coordination Meeting),"Hadir diwakili staf teknis, cukup kooperatif",2,Harmonis
252,Conrad Asia Energy,2024,Agustus,Rapat,Technical Review Meeting,"Pemaparan cukup, ada tindak lanjut tambahan",2,Harmonis
253,PT Medco E&P Malaka,2024,Agustus,Komunikasi,Email Klarifikasi Teknis,Respon sangat cepat (< 24 jam),3,Harmonis
254,PT Medco E&P Malaka,2024,Agustus,Komunikasi,Surat Korespondensi Resmi,Tanggapan diterima sesuai durasi standar,2,Harmonis
255,PT Medco E&P Malaka,2024,Agustus,Laporan,Laporan Produksi Harian (Daily),Submit via portal tepat waktu & data sinkron,3,Harmonis
256,PT Medco E&P Malaka,2024,Agustus,Laporan,FQR (Financial Quarterly Report),"Lampiran tidak lengkap, butuh revisi besar",1,Kurang Harmonis
257,PT Medco E&P Malaka,2024,Agustus,Partisipasi,Program Pengembangan SDM,Mengadakan sertifikasi gratis untuk teknisi lokal,3,Harmonis
258,PT Medco E&P Malaka,2024,Agustus,Rapat,MCM (Monthly Coordination Meeting),"Dihadiri GM/Manager, proaktif dalam diskusi",3,Harmonis
259,PT Medco E&P Malaka,2024,Agustus,Rapat,Technical Review Meeting,"Pemaparan cukup, ada tindak lanjut tambahan",2,Harmonis
260,PT Pema Global Energi,2024,Agustus,Komunikasi,Email Klarifikasi Teknis,Dibalas dalam 2-3 hari kerja,2,Harmonis
261,PT Pema Global Energi,2024,Agustus,Komunikasi,Surat Korespondensi Resmi,Tanggapan diterima sesuai durasi standar,2,Harmonis
262,PT Pema Global Energi,2024,Agustus,Laporan,Laporan Produksi Harian (Daily),"Submit tepat waktu, ada revisi minor",2,Harmonis
263,PT Pema Global Energi,2024,Agustus,Laporan,FQR (Financial Quarterly Report),"Dokumen lengkap, lampiran sesuai regulasi",3,Harmonis
264,PT Pema Global Energi,2024,Agustus,Partisipasi,Sosialisasi Lingkungan,Koordinasi program lingkungan sangat baik,3,Harmonis
265,PT Pema Global Energi,2024,Agustus,Rapat,MCM (Monthly Coordination Meeting),"Hadir diwakili staf teknis, cukup kooperatif",2,Harmonis
266,PT Pema Global Energi,2024,Agustus,Rapat,Technical Review Meeting,Pemaparan data teknis sangat akurat & solutif,3,Harmonis
267,Triangle Pase,2024,Agustus,Komunikasi,Email Klarifikasi Teknis,Tidak ada balasan setelah 3 hari kerja,1,Kurang Harmonis
268,Triangle Pase,2024,Agustus,Komunikasi,Surat Korespondensi Resmi,Tanggapan diterima sesuai durasi standar,2,Harmonis
269,Triangle Pase,2024,Agustus,Laporan,Laporan Produksi Harian (Daily),"Submit tepat waktu, ada revisi minor",2,Harmonis
270,Triangle Pase,2024,Agustus,Laporan,FQR (Financial Quarterly Report),Laporan diterima dengan catatan kecil,2,Harmonis
271,Triangle Pase,2024,Agustus,Partisipasi,Forum Vendor Lokal,Hadir namun kontribusi data vendor masih minim,2,Harmonis
272,Triangle Pase,2024,Agustus,Rapat,MCM (Monthly Coordination Meeting),Tidak hadir tanpa konfirmasi/berhalangan,1,Kurang Harmonis
273,Triangle Pase,2024,Agustus,Rapat,Technical Review Meeting,"Pemaparan cukup, ada tindak lanjut tambahan",2,Harmonis
274,Zaratex N.V.,2024,Agustus,Komunikasi,Email Klarifikasi Teknis,Respon sangat cepat (< 24 jam),3,Harmonis
275,Zaratex N.V.,2024,Agustus,Komunikasi,Surat Korespondensi Resmi,Tanggapan diterima sesuai durasi standar,2,Harmonis
276,Zaratex N.V.,2024,Agustus,Laporan,Laporan Produksi Harian (Daily),"Submit tepat waktu, ada revisi minor",2,Harmonis
277,Zaratex N.V.,2024,Agustus,Laporan,FQR (Financial Quarterly Report),Laporan diterima dengan catatan kecil,2,Harmonis
278,Zaratex N.V.,2024,Agustus,Partisipasi,Program Magang Lokal,Belum membuka kuota magang lokal / tidak kooperatif,1,Kurang Harmonis
279,Zaratex N.V.,2024,Agustus,Rapat,MCM (Monthly Coordination Meeting),"Hadir diwakili staf teknis, cukup kooperatif",2,Harmonis
280,Zaratex N.V.,2024,Agustus,Rapat,Technical Review Meeting,"Pemaparan cukup, ada tindak lanjut tambahan",2,Harmonis
281,Conrad Asia Energy,2024,September,Komunikasi,Email Klarifikasi Teknis,Respon sangat cepat (< 24 jam),3,Harmonis
282,Conrad Asia Energy,2024,September,Komunikasi,Surat Korespondensi Resmi,Administrasi rapi & tindak lanjut cepat,3,Harmonis
283,Conrad Asia Energy,2024,September,Laporan,Laporan Produksi Harian (Daily),"Submit tepat waktu, ada revisi minor",2,Harmonis
284,Conrad Asia Energy,2024,September,Laporan,FQR (Financial Quarterly Report),Laporan diterima dengan catatan kecil,2,Harmonis
285,Conrad Asia Energy,2024,September,Partisipasi,Sosialisasi Lingkungan,Koordinasi program lingkungan sangat baik,3,Harmonis
286,Conrad Asia Energy,2024,September,Rapat,MCM (Monthly Coordination Meeting),"Dihadiri GM/Manager, proaktif dalam diskusi",3,Harmonis
287,Conrad Asia Energy,2024,September,Rapat,Technical Review Meeting,Pemaparan data teknis sangat akurat & solutif,3,Harmonis
288,PT Medco E&P Malaka,2024,September,Komunikasi,Email Klarifikasi Teknis,Respon sangat cepat (< 24 jam),3,Harmonis
289,PT Medco E&P Malaka,2024,September,Komunikasi,Surat Korespondensi Resmi,Administrasi rapi & tindak lanjut cepat,3,Harmonis
290,PT Medco E&P Malaka,2024,September,Laporan,Laporan Produksi Harian (Daily),Submit via portal tepat waktu & data sinkron,3,Harmonis
291,PT Medco E&P Malaka,2024,September,Laporan,FQR (Financial Quarterly Report),"Dokumen lengkap, lampiran sesuai regulasi",3,Harmonis
292,PT Medco E&P Malaka,2024,September,Partisipasi,Forum Vendor Lokal,Hadir namun kontribusi data vendor masih minim,2,Harmonis
293,PT Medco E&P Malaka,2024,September,Rapat,MCM (Monthly Coordination Meeting),"Dihadiri GM/Manager, proaktif dalam diskusi",3,Harmonis
294,PT Medco E&P Malaka,2024,September,Rapat,Technical Review Meeting,Pemaparan data teknis sangat akurat & solutif,3,Harmonis
295,PT Pema Global Energi,2024,September,Komunikasi,Email Klarifikasi Teknis,Dibalas dalam 2-3 hari kerja,2,Harmonis
296,PT Pema Global Energi,2024,September,Komunikasi,Surat Korespondensi Resmi,Administrasi rapi & tindak lanjut cepat,3,Harmonis
297,PT Pema Global Energi,2024,September,Laporan,Laporan Produksi Harian (Daily),"Submit tepat waktu, ada revisi minor",2,Harmonis
298,PT Pema Global Energi,2024,September,Laporan,FQR (Financial Quarterly Report),Laporan diterima dengan catatan kecil,2,Harmonis
299,PT Pema Global Energi,2024,September,Partisipasi,Forum Vendor Lokal,Hadir namun kontribusi data vendor masih minim,2,Harmonis
300,PT Pema Global Energi,2024,September,Rapat,MCM (Monthly Coordination Meeting),"Dihadiri GM/Manager, proaktif dalam diskusi",3,Harmonis
301,PT Pema Global Energi,2024,September,Rapat,Technical Review Meeting,"Pemaparan cukup, ada tindak lanjut tambahan",2,Harmonis
302,Triangle Pase,2024,September,Komunikasi,Email Klarifikasi Teknis,Tidak ada balasan setelah 3 hari kerja,1,Kurang Harmonis
303,Triangle Pase,2024,September,Komunikasi,Surat Korespondensi Resmi,Sering membutuhkan follow-up berkali-kali,1,Kurang Harmonis
304,Triangle Pase,2024,September,Laporan,Laporan Produksi Harian (Daily),Keterlambatan submit > 24 jam,1,Kurang Harmonis
305,Triangle Pase,2024,September,Laporan,FQR (Financial Quarterly Report),"Lampiran tidak lengkap, butuh revisi besar",1,Kurang Harmonis
306,Triangle Pase,2024,September,Partisipasi,Workshop Teknis Migas,Proaktif berbagi studi kasus pengeboran,3,Harmonis
307,Triangle Pase,2024,September,Rapat,MCM (Monthly Coordination Meeting),Tidak hadir tanpa konfirmasi/berhalangan,1,Kurang Harmonis
308,Triangle Pase,2024,September,Rapat,Technical Review Meeting,Data teknis tidak siap saat pemaparan,1,Kurang Harmonis
309,Zaratex N.V.,2024,September,Komunikasi,Email Klarifikasi Teknis,Tidak ada balasan setelah 3 hari kerja,1,Kurang Harmonis
310,Zaratex N.V.,2024,September,Komunikasi,Surat Korespondensi Resmi,Tanggapan diterima sesuai durasi standar,2,Harmonis
311,Zaratex N.V.,2024,September,Laporan,Laporan Produksi Harian (Daily),Submit via portal tepat waktu & data sinkron,3,Harmonis
312,Zaratex N.V.,2024,September,Laporan,FQR (Financial Quarterly Report),"Dokumen lengkap, lampiran sesuai regulasi",3,Harmonis
313,Zaratex N.V.,2024,September,Partisipasi,Forum Kapasitas Nasional,Menjadi narasumber utama & membawa vendor lokal,3,Harmonis
314,Zaratex N.V.,2024,September,Rapat,MCM (Monthly Coordination Meeting),"Dihadiri GM/Manager, proaktif dalam diskusi",3,Harmonis
315,Zaratex N.V.,2024,September,Rapat,Technical Review Meeting,Data teknis tidak siap saat pemaparan,1,Kurang Harmonis
316,Conrad Asia Energy,2024,Oktober,Komunikasi,Email Klarifikasi Teknis,Respon sangat cepat (< 24 jam),3,Harmonis
317,Conrad Asia Energy,2024,Oktober,Komunikasi,Surat Korespondensi Resmi,Tanggapan diterima sesuai durasi standar,2,Harmonis
318,Conrad Asia Energy,2024,Oktober,Laporan,Laporan Produksi Harian (Daily),"Submit tepat waktu, ada revisi minor",2,Harmonis
319,Conrad Asia Energy,2024,Oktober,Laporan,FQR (Financial Quarterly Report),"Dokumen lengkap, lampiran sesuai regulasi",3,Harmonis
320,Conrad Asia Energy,2024,Oktober,Partisipasi,Forum Vendor Lokal,Hadir namun kontribusi data vendor masih minim,2,Harmonis
321,Conrad Asia Energy,2024,Oktober,Rapat,MCM (Monthly Coordination Meeting),"Dihadiri GM/Manager, proaktif dalam diskusi",3,Harmonis
322,Conrad Asia Energy,2024,Oktober,Rapat,Technical Review Meeting,Pemaparan data teknis sangat akurat & solutif,3,Harmonis
323,PT Medco E&P Malaka,2024,Oktober,Komunikasi,Email Klarifikasi Teknis,Respon sangat cepat (< 24 jam),3,Harmonis
324,PT Medco E&P Malaka,2024,Oktober,Komunikasi,Surat Korespondensi Resmi,Tanggapan diterima sesuai durasi standar,2,Harmonis
325,PT Medco E&P Malaka,2024,Oktober,Laporan,Laporan Produksi Harian (Daily),Submit via portal tepat waktu & data sinkron,3,Harmonis
326,PT Medco E&P Malaka,2024,Oktober,Laporan,FQR (Financial Quarterly Report),"Dokumen lengkap, lampiran sesuai regulasi",3,Harmonis
327,PT Medco E&P Malaka,2024,Oktober,Partisipasi,Program Pengembangan SDM,Mengadakan sertifikasi gratis untuk teknisi lokal,3,Harmonis
328,PT Medco E&P Malaka,2024,Oktober,Rapat,MCM (Monthly Coordination Meeting),"Hadir diwakili staf teknis, cukup kooperatif",2,Harmonis
329,PT Medco E&P Malaka,2024,Oktober,Rapat,Technical Review Meeting,Pemaparan data teknis sangat akurat & solutif,3,Harmonis
330,PT Pema Global Energi,2024,Oktober,Komunikasi,Email Klarifikasi Teknis,Dibalas dalam 2-3 hari kerja,2,Harmonis
331,PT Pema Global Energi,2024,Oktober,Komunikasi,Surat Korespondensi Resmi,Tanggapan diterima sesuai durasi standar,2,Harmonis
332,PT Pema Global Energi,2024,Oktober,Laporan,Laporan Produksi Harian (Daily),Submit via portal tepat waktu & data sinkron,3,Harmonis
333,PT Pema Global Energi,2024,Oktober,Laporan,FQR (Financial Quarterly Report),Laporan diterima dengan catatan kecil,2,Harmonis
334,PT Pema Global Energi,2024,Oktober,Partisipasi,Forum Vendor Lokal,Hadir namun kontribusi data vendor masih minim,2,Harmonis
335,PT Pema Global Energi,2024,Oktober,Rapat,MCM (Monthly Coordination Meeting),"Hadir diwakili staf teknis, cukup kooperatif",2,Harmonis
336,PT Pema Global Energi,2024,Oktober,Rapat,Technical Review Meeting,Pemaparan data teknis sangat akurat & solutif,3,Harmonis
337,Triangle Pase,2024,Oktober,Komunikasi,Email Klarifikasi Teknis,Dibalas dalam 2-3 hari kerja,2,Harmonis
338,Triangle Pase,2024,Oktober,Komunikasi,Surat Korespondensi Resmi,Sering membutuhkan follow-up berkali-kali,1,Kurang Harmonis
339,Triangle Pase,2024,Oktober,Laporan,Laporan Produksi Harian (Daily),Keterlambatan submit > 24 jam,1,Kurang Harmonis
340,Triangle Pase,2024,Oktober,Laporan,FQR (Financial Quarterly Report),Laporan diterima dengan catatan kecil,2,Harmonis
341,Triangle Pase,2024,Oktober,Partisipasi,Forum Kapasitas Nasional,Menjadi narasumber utama & membawa vendor lokal,3,Harmonis
342,Triangle Pase,2024,Oktober,Rapat,MCM (Monthly Coordination Meeting),"Hadir diwakili staf teknis, cukup kooperatif",2,Harmonis
343,Triangle Pase,2024,Oktober,Rapat,Technical Review Meeting,Data teknis tidak siap saat pemaparan,1,Kurang Harmonis
344,Zaratex N.V.,2024,Oktober,Komunikasi,Email Klarifikasi Teknis,Tidak ada balasan setelah 3 hari kerja,1,Kurang Harmonis
345,Zaratex N.V.,2024,Oktober,Komunikasi,Surat Korespondensi Resmi,Sering membutuhkan follow-up berkali-kali,1,Kurang Harmonis
346,Zaratex N.V.,2024,Oktober,Laporan,Laporan Produksi Harian (Daily),Keterlambatan submit > 24 jam,1,Kurang Harmonis
347,Zaratex N.V.,2024,Oktober,Laporan,FQR (Financial Quarterly Report),Laporan diterima dengan catatan kecil,2,Harmonis
348,Zaratex N.V.,2024,Oktober,Partisipasi,Program Magang Lokal,Belum membuka kuota magang lokal / tidak kooperatif,1,Kurang Harmonis
349,Zaratex N.V.,2024,Oktober,Rapat,MCM (Monthly Coordination Meeting),"Dihadiri GM/Manager, proaktif dalam diskusi",3,Harmonis
350,Zaratex N.V.,2024,Oktober,Rapat,Technical Review Meeting,"Pemaparan cukup, ada tindak lanjut tambahan",2,Harmonis
351,Conrad Asia Energy,2024,November,Komunikasi,Email Klarifikasi Teknis,Respon sangat cepat (< 24 jam),3,Harmonis
352,Conrad Asia Energy,2024,November,Komunikasi,Surat Korespondensi Resmi,Tanggapan diterima sesuai durasi standar,2,Harmonis
353,Conrad Asia Energy,2024,November,Laporan,Laporan Produksi Harian (Daily),Submit via portal tepat waktu & data sinkron,3,Harmonis
354,Conrad Asia Energy,2024,November,Laporan,FQR (Financial Quarterly Report),"Dokumen lengkap, lampiran sesuai regulasi",3,Harmonis
355,Conrad Asia Energy,2024,November,Partisipasi,Program Pengembangan SDM,Mengadakan sertifikasi gratis untuk teknisi lokal,3,Harmonis
356,Conrad Asia Energy,2024,November,Rapat,MCM (Monthly Coordination Meeting),"Dihadiri GM/Manager, proaktif dalam diskusi",3,Harmonis
357,Conrad Asia Energy,2024,November,Rapat,Technical Review Meeting,Pemaparan data teknis sangat akurat & solutif,3,Harmonis
358,PT Medco E&P Malaka,2024,November,Komunikasi,Email Klarifikasi Teknis,Respon sangat cepat (< 24 jam),3,Harmonis
359,PT Medco E&P Malaka,2024,November,Komunikasi,Surat Korespondensi Resmi,Administrasi rapi & tindak lanjut cepat,3,Harmonis
360,PT Medco E&P Malaka,2024,November,Laporan,Laporan Produksi Harian (Daily),Submit via portal tepat waktu & data sinkron,3,Harmonis
361,PT Medco E&P Malaka,2024,November,Laporan,FQR (Financial Quarterly Report),"Dokumen lengkap, lampiran sesuai regulasi",3,Harmonis
362,PT Medco E&P Malaka,2024,November,Partisipasi,Workshop Teknis Migas,Proaktif berbagi studi kasus pengeboran,3,Harmonis
363,PT Medco E&P Malaka,2024,November,Rapat,MCM (Monthly Coordination Meeting),"Dihadiri GM/Manager, proaktif dalam diskusi",3,Harmonis
364,PT Medco E&P Malaka,2024,November,Rapat,Technical Review Meeting,Data teknis tidak siap saat pemaparan,1,Kurang Harmonis
365,PT Pema Global Energi,2024,November,Komunikasi,Email Klarifikasi Teknis,Respon sangat cepat (< 24 jam),3,Harmonis
366,PT Pema Global Energi,2024,November,Komunikasi,Surat Korespondensi Resmi,Administrasi rapi & tindak lanjut cepat,3,Harmonis
367,PT Pema Global Energi,2024,November,Laporan,Laporan Produksi Harian (Daily),"Submit tepat waktu, ada revisi minor",2,Harmonis
368,PT Pema Global Energi,2024,November,Laporan,FQR (Financial Quarterly Report),"Dokumen lengkap, lampiran sesuai regulasi",3,Harmonis
369,PT Pema Global Energi,2024,November,Partisipasi,Sosialisasi Lingkungan,Koordinasi program lingkungan sangat baik,3,Harmonis
370,PT Pema Global Energi,2024,November,Rapat,MCM (Monthly Coordination Meeting),"Hadir diwakili staf teknis, cukup kooperatif",2,Harmonis
371,PT Pema Global Energi,2024,November,Rapat,Technical Review Meeting,"Pemaparan cukup, ada tindak lanjut tambahan",2,Harmonis
372,Triangle Pase,2024,November,Komunikasi,Email Klarifikasi Teknis,Tidak ada balasan setelah 3 hari kerja,1,Kurang Harmonis
373,Triangle Pase,2024,November,Komunikasi,Surat Korespondensi Resmi,Sering membutuhkan follow-up berkali-kali,1,Kurang Harmonis
374,Triangle Pase,2024,November,Laporan,Laporan Produksi Harian (Daily),Keterlambatan submit > 24 jam,1,Kurang Harmonis
375,Triangle Pase,2024,November,Laporan,FQR (Financial Quarterly Report),"Lampiran tidak lengkap, butuh revisi besar",1,Kurang Harmonis
376,Triangle Pase,2024,November,Partisipasi,Forum Kapasitas Nasional,Menjadi narasumber utama & membawa vendor lokal,3,Harmonis
377,Triangle Pase,2024,November,Rapat,MCM (Monthly Coordination Meeting),Tidak hadir tanpa konfirmasi/berhalangan,1,Kurang Harmonis
378,Triangle Pase,2024,November,Rapat,Technical Review Meeting,Data teknis tidak siap saat pemaparan,1,Kurang Harmonis
379,Zaratex N.V.,2024,November,Komunikasi,Email Klarifikasi Teknis,Dibalas dalam 2-3 hari kerja,2,Harmonis
380,Zaratex N.V.,2024,November,Komunikasi,Surat Korespondensi Resmi,Sering membutuhkan follow-up berkali-kali,1,Kurang Harmonis
381,Zaratex N.V.,2024,November,Laporan,Laporan Produksi Harian (Daily),Keterlambatan submit > 24 jam,1,Kurang Harmonis
382,Zaratex N.V.,2024,November,Laporan,FQR (Financial Quarterly Report),Laporan diterima dengan catatan kecil,2,Harmonis
383,Zaratex N.V.,2024,November,Partisipasi,Program Magang Lokal,Belum membuka kuota magang lokal / tidak kooperatif,1,Kurang Harmonis
384,Zaratex N.V.,2024,November,Rapat,MCM (Monthly Coordination Meeting),"Hadir diwakili staf teknis, cukup kooperatif",2,Harmonis
385,Zaratex N.V.,2024,November,Rapat,Technical Review Meeting,Data teknis tidak siap saat pemaparan,1,Kurang Harmonis
386,Conrad Asia Energy,2024,Desember,Komunikasi,Email Klarifikasi Teknis,Dibalas dalam 2-3 hari kerja,2,Harmonis
387,Conrad Asia Energy,2024,Desember,Komunikasi,Surat Korespondensi Resmi,Tanggapan diterima sesuai durasi standar,2,Harmonis
388,Conrad Asia Energy,2024,Desember,Laporan,Laporan Produksi Harian (Daily),Submit via portal tepat waktu & data sinkron,3,Harmonis
389,Conrad Asia Energy,2024,Desember,Laporan,FQR (Financial Quarterly Report),"Dokumen lengkap, lampiran sesuai regulasi",3,Harmonis
390,Conrad Asia Energy,2024,Desember,Partisipasi,Program Pengembangan SDM,Mengadakan sertifikasi gratis untuk teknisi lokal,3,Harmonis
391,Conrad Asia Energy,2024,Desember,Rapat,MCM (Monthly Coordination Meeting),"Dihadiri GM/Manager, proaktif dalam diskusi",3,Harmonis
392,Conrad Asia Energy,2024,Desember,Rapat,Technical Review Meeting,Pemaparan data teknis sangat akurat & solutif,3,Harmonis
393,PT Medco E&P Malaka,2024,Desember,Komunikasi,Email Klarifikasi Teknis,Respon sangat cepat (< 24 jam),3,Harmonis
394,PT Medco E&P Malaka,2024,Desember,Komunikasi,Surat Korespondensi Resmi,Administrasi rapi & tindak lanjut cepat,3,Harmonis
395,PT Medco E&P Malaka,2024,Desember,Laporan,Laporan Produksi Harian (Daily),"Submit tepat waktu, ada revisi minor",2,Harmonis
396,PT Medco E&P Malaka,2024,Desember,Laporan,FQR (Financial Quarterly Report),"Dokumen lengkap, lampiran sesuai regulasi",3,Harmonis
397,PT Medco E&P Malaka,2024,Desember,Partisipasi,Workshop Teknis Migas,Proaktif berbagi studi kasus pengeboran,3,Harmonis
398,PT Medco E&P Malaka,2024,Desember,Rapat,MCM (Monthly Coordination Meeting),"Dihadiri GM/Manager, proaktif dalam diskusi",3,Harmonis
399,PT Medco E&P Malaka,2024,Desember,Rapat,Technical Review Meeting,Pemaparan data teknis sangat akurat & solutif,3,Harmonis
400,PT Pema Global Energi,2024,Desember,Komunikasi,Email Klarifikasi Teknis,Respon sangat cepat (< 24 jam),3,Harmonis
401,PT Pema Global Energi,2024,Desember,Komunikasi,Surat Korespondensi Resmi,Administrasi rapi & tindak lanjut cepat,3,Harmonis
402,PT Pema Global Energi,2024,Desember,Laporan,Laporan Produksi Harian (Daily),"Submit tepat waktu, ada revisi minor",2,Harmonis
